zz6,zz7,zz8,zz9,pm1a,pm2a,pm1b,pm2b,pm1c_1,pm1c_2,pm2c_1,pm2c_2,d1,d4,d5_1,d5_2,d5_3,d5_4,d5_5,d6_1,d6_2,d6_3,d6_4,d6_5,d6_6,d6_7,d6_8,d8,d9,altq,berj,wostd,lfdn,weight0
Untertitel in Filmen,Faktenboxen,Cohen's U3,'signifikant'-Formulierung,2,sehr informativ,sehr sicher,sehr sicher,stimme nicht zu,stimme voll und ganz zu,stimme voll und ganz zu,stimme nicht zu,männlich,nein,"mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","no  mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,(berufliches) Gymnasium,Ich habe ein Lehramtsstudium an der Universität absolviert.,39,10,99,468,0.842
Motivationsförderung im Matheunterricht,Untertitel in Filmen,'signifikant'-Formulierung,Cohen's U3,sehr uninformativ,sehr informativ,4,sehr sicher,unentschieden,stimme voll und ganz zu,stimme voll und ganz zu,stimme voll und ganz zu,weiblich,nein,"no  mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","no  mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",no  mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,Mitglied der Schulleitung,no  Mitglied der Steuergruppe,no  Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,sonstiges,no  keine Angabe,Grundschule,Ich habe kein Lehramtsstudium absolviert und habe einen Seiten- bzw. Quereinstig vollzogen.,63,38,42,470,0.782
Untertitel in Filmen,PISA 2009 Deutschland,'signifikant'-Formulierung,Bayes Faktor,4,4,sehr sicher,4,stimme voll und ganz zu,unentschieden,unentschieden,stimme nicht zu,weiblich,nein,"no  mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,no  Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,Schule mit mehreren Bildungsgängen (z.B. Gemeinschaftsschule oder Stadtteilschule),Ich habe ein Lehramtsstudium an der Universität absolviert.,31,5,NA,471,1.205
G8,Untertitel in Filmen,p-Wert,Cohen's U3,3,2,2,sehr sicher,stimme eher zu,stimme eher nicht zu,stimme nicht zu,stimme voll und ganz zu,weiblich,nein,"no  mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,Mitglied der Steuergruppe,Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,Schule mit mehreren Bildungsgängen (z.B. Gemeinschaftsschule oder Stadtteilschule),Ich habe ein Lehramtsstudium an der Universität absolviert.,37,6,14,474,1.139
Untertitel in Filmen,G8,Cohen's d,p-Wert,4,sehr informativ,4,2,unentschieden,unentschieden,stimme eher zu,stimme eher zu,weiblich,nein,"mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","no  mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",no  mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,sonstiges,no  keine Angabe,Realschule,Ich habe ein Lehramtsstudium an der Universität absolviert.,52,33,12,475,0.804
Motivationsförderung im Matheunterricht,G8,Cohen's d,p-Wert,sehr informativ,sehr informativ,sehr sicher,sehr sicher,stimme voll und ganz zu,stimme voll und ganz zu,stimme voll und ganz zu,stimme nicht zu,männlich,nein,"mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","no  mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",no  mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,Mitglied der Steuergruppe,no  Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,(berufliches) Gymnasium,Ich habe ein Lehramtsstudium an der Universität absolviert.,36,9,7,476,0.842
Faktenboxen,PISA 2009 Deutschland,'signifikant'-Formulierung,p-Wert,2,4,sehr sicher,2,stimme voll und ganz zu,stimme nicht zu,stimme voll und ganz zu,stimme eher nicht zu,männlich,nein,"no  mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,sonstiges,no  keine Angabe,Grundschule,Ich habe ein Lehramtsstudium an der Universität absolviert.,33,4,6,478,0.874
Untertitel in Filmen,PISA 2009 Deutschland,p-Wert,'signifikant'-Formulierung + Cohens U3,sehr uninformativ,2,2,sehr sicher,unentschieden,stimme eher zu,stimme eher zu,stimme eher nicht zu,weiblich,nein,"no  mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",no  mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,Förder- oder Sonderschule,Ich habe ein Lehramtsstudium an der Universität absolviert.,54,27,9,480,1.16
Motivationsförderung im Matheunterricht,PISA 2009 Deutschland,p-Wert,'signifikant'-Formulierung,weiß nicht / keine Angabe,weiß nicht / keine Angabe,weiß nicht / keine Angabe,3,stimme eher nicht zu,stimme eher nicht zu,unentschieden,unentschieden,weiblich,nein,"no  mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,no  Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,Realschule,Ich habe ein Lehramtsstudium an der Universität absolviert.,37,9,NA,481,0.851
Motivationsförderung im Matheunterricht,Untertitel in Filmen,'signifikant'-Formulierung,Bayes Faktor,4,2,4,2,unentschieden,unentschieden,unentschieden,stimme eher zu,weiblich,nein,"no  mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","no  mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",no  mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,(berufliches) Gymnasium,Ich habe kein Lehramtsstudium absolviert und habe einen Seiten- bzw. Quereinstig vollzogen.,54,17,17,482,1.101
Untertitel in Filmen,PISA 2009 Deutschland,p-Wert,Cohen's U3,4,2,2,sehr sicher,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,weiblich,nein,"no  mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","no  mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",no  mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),keine Angabe,no  Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,no  Bereichs- bzw. Fachschaftsleitung,Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,Grundschule,Ich habe meine Lehramtsqualifikation an einer anderen lehrerbildenden Institution (z.B. Pädagogisches Fachseminar) erworben.,27,1,10,483,2.176
Motivationsförderung im Matheunterricht,PISA 2009 Deutschland,p-Wert,Bayes Faktor,sehr uninformativ,3,sehr unsicher,3,stimme voll und ganz zu,stimme eher zu,stimme eher zu,stimme voll und ganz zu,weiblich,nein,"mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","no  mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,no  Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,(berufliches) Gymnasium,Ich habe ein Lehramtsstudium an der Universität absolviert.,61,23,NA,484,0.673
G8,Motivationsförderung im Matheunterricht,Cohen's d,'signifikant'-Formulierung + Cohens U3,sehr uninformativ,sehr informativ,3,sehr sicher,unentschieden,stimme eher zu,unentschieden,stimme eher zu,männlich,nein,"mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","no  mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,no  Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,sonstiges,no  keine Angabe,Grundschule,Ich habe ein Lehramtsstudium an der Universität absolviert.,50,17,2,485,0.925
PISA 2009 Deutschland,G8,Cohen's d,'signifikant'-Formulierung + Cohens U3,sehr uninformativ,sehr uninformativ,sehr unsicher,4,weiß nicht / keine Angabe,weiß nicht / keine Angabe,stimme eher zu,stimme eher zu,männlich,nein,"no  mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","no  mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,no  Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,Realschule,Ich habe ein Lehramtsstudium an der Universität absolviert.,55,16,NA,486,0.651
PISA 2009 Deutschland,Faktenboxen,p-Wert,Bayes Faktor,2,sehr informativ,sehr sicher,2,stimme eher nicht zu,stimme eher nicht zu,stimme eher nicht zu,stimme voll und ganz zu,männlich,nein,"no  mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","no  mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,no  Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,sonstiges,no  keine Angabe,Realschule,Ich habe ein Lehramtsstudium an der Universität absolviert.,45,13,31,487,0.651
Motivationsförderung im Matheunterricht,Untertitel in Filmen,p-Wert,'signifikant'-Formulierung,4,sehr uninformativ,sehr unsicher,3,weiß nicht / keine Angabe,weiß nicht / keine Angabe,stimme eher zu,stimme nicht zu,weiblich,nein,"mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","no  mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",no  mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,Mitglied der Steuergruppe,no  Bereichs- bzw. Fachschaftsleitung,Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,Förder- oder Sonderschule,Ich habe ein Lehramtsstudium an der Universität absolviert.,56,19,3,489,1.16
Motivationsförderung im Matheunterricht,Untertitel in Filmen,'signifikant'-Formulierung,Bayes Faktor,sehr uninformativ,sehr uninformativ,weiß nicht / keine Angabe,weiß nicht / keine Angabe,stimme nicht zu,stimme eher nicht zu,weiß nicht / keine Angabe,weiß nicht / keine Angabe,weiblich,nein,"mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,Hauptschule,Ich habe ein Lehramtsstudium an der Universität absolviert.,63,37,99,490,0.629
Untertitel in Filmen,PISA 2009 Deutschland,'signifikant'-Formulierung,'signifikant'-Formulierung + Cohens U3,2,2,2,2,stimme voll und ganz zu,stimme eher zu,stimme voll und ganz zu,stimme voll und ganz zu,männlich,nein,"mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","no  mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",no  mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,Mitglied der Schulleitung,no  Mitglied der Steuergruppe,no  Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,Grundschule,Ich habe ein Lehramtsstudium an der Universität absolviert.,42,22,13,491,0.874
Motivationsförderung im Matheunterricht,G8,Cohen's U3,Cohen's d,2,3,sehr sicher,sehr unsicher,stimme nicht zu,stimme voll und ganz zu,stimme nicht zu,stimme voll und ganz zu,weiblich,nein,"no  mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,(berufliches) Gymnasium,Ich habe kein Lehramtsstudium absolviert und habe einen Seiten- bzw. Quereinstig vollzogen.,39,11,2,492,1.101
Faktenboxen,G8,Cohen's d,p-Wert,3,3,3,2,stimme voll und ganz zu,stimme eher zu,stimme eher zu,unentschieden,weiblich,nein,"no  mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",no  mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,no  Bereichs- bzw. Fachschaftsleitung,Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,Schule mit mehreren Bildungsgängen (z.B. Gemeinschaftsschule oder Stadtteilschule),Ich haben ein Lehramtsstudium an einer Pädagogischen Hochschule absolviert.,40,8,9,496,1.205
PISA 2009 Deutschland,Untertitel in Filmen,p-Wert,Cohen's d,sehr uninformativ,sehr uninformativ,2,3,stimme voll und ganz zu,stimme nicht zu,stimme voll und ganz zu,stimme eher nicht zu,männlich,nein,"mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","no  mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",no  mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,Mitglied der Schulleitung,no  Mitglied der Steuergruppe,no  Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,sonstiges,no  keine Angabe,(berufliches) Gymnasium,Ich habe ein Lehramtsstudium an der Universität absolviert.,44,14,18,498,0.842
Motivationsförderung im Matheunterricht,Untertitel in Filmen,Cohen's U3,Cohen's d,sehr informativ,4,3,sehr unsicher,stimme voll und ganz zu,unentschieden,stimme eher nicht zu,stimme eher zu,männlich,nein,"mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","no  mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,Mitglied der Steuergruppe,Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,sonstiges,no  keine Angabe,Realschule,Ich habe ein Lehramtsstudium an der Universität absolviert.,49,16,11,499,0.651
Untertitel in Filmen,PISA 2009 Deutschland,'signifikant'-Formulierung + Cohens U3,p-Wert,sehr uninformativ,sehr uninformativ,2,4,stimme eher zu,stimme eher nicht zu,stimme nicht zu,stimme nicht zu,weiblich,nein,"no  mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",no  mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,no  Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,Schule mit mehreren Bildungsgängen (z.B. Gemeinschaftsschule oder Stadtteilschule),Ich haben ein Lehramtsstudium an einer Pädagogischen Hochschule absolviert.,56,33,37,500,1.139
Faktenboxen,Motivationsförderung im Matheunterricht,'signifikant'-Formulierung + Cohens U3,'signifikant'-Formulierung,sehr informativ,3,2,4,stimme voll und ganz zu,stimme nicht zu,stimme eher zu,unentschieden,männlich,nein,"no  mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","no  mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,no  Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,Grundschule,Ich habe ein Lehramtsstudium an der Universität absolviert.,63,26,NA,502,0.598
Motivationsförderung im Matheunterricht,G8,'signifikant'-Formulierung,Bayes Faktor,sehr informativ,3,sehr sicher,2,stimme voll und ganz zu,stimme voll und ganz zu,stimme eher zu,stimme voll und ganz zu,weiblich,nein,"no  mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,Realschule,Ich habe ein Lehramtsstudium an der Universität absolviert.,51,5,25,503,0.851
G8,Faktenboxen,Bayes Faktor,Cohen's d,2,3,3,sehr unsicher,stimme eher nicht zu,stimme eher zu,unentschieden,unentschieden,weiblich,nein,"no  mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","no  mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,no  Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,Förder- oder Sonderschule,Ich habe kein Lehramtsstudium absolviert und habe einen Seiten- bzw. Quereinstig vollzogen.,45,2,NA,504,1.096
Untertitel in Filmen,Motivationsförderung im Matheunterricht,Cohen's U3,p-Wert,3,4,3,2,stimme eher zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,männlich,nein,"no  mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","no  mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,no  Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,Grundschule,Ich habe ein Lehramtsstudium an der Universität absolviert.,54,24,NA,505,0.925
